-22	37	-90	-135	103	-86	-31	36	-73	-61	-49	-85	26	-125	94	82	81	-37	80	65	116	72	-20	48	-66	-61	22	22	-6	39	17	100	-59	-6	56	-57	34	-61	18	19	-27
-14	11	-100	-85	87	-58	-74	-33	-101	-48	-82	-102	27	-114	103	-16	98	-44	85	56	-15	130	-36	110	-112	-138	23	-76	-6	92	-69	40	-67	-50	50	-44	37	45	3	38	-36
-25	24	53	-109	66	81	-6	-45	-78	-22	-21	-61	-10	-131	-67	61	48	65	26	5	55	-2	-31	118	-74	-135	23	-45	-9	21	-64	9	-48	-22	68	-56	95	48	-7	38	-67
-14	-6	-38	10	32	53	-40	8	16	-29	-41	-75	-10	-99	-31	19	40	-24	41	33	-15	57	-31	58	-63	-55	10	33	-7	60	19	87	-44	-11	4	-82	13	-74	9	-10	-28
-24	22	60	-94	-83	81	-27	30	-52	-26	-14	-64	20	-100	-61	68	32	75	31	-17	66	87	-55	77	71	-94	13	37	0	42	-23	68	-61	-3	31	-76	76	-80	37	7	-7
-8	53	-93	-103	81	-74	-57	55	-25	-59	-42	-99	22	-157	112	-55	91	-62	27	-43	-6	49	-39	63	-63	-60	13	6	4	58	-8	74	-44	21	17	-59	9	-56	26	-5	-13
-30	27	-109	-94	93	-70	-38	-25	-121	-32	-16	-113	32	-134	95	-58	93	92	72	68	1	21	-39	118	-78	-148	21	-37	-12	112	-38	32	-56	-9	56	-71	88	40	13	36	-35
-20	49	-98	-98	78	-59	-43	-39	-151	-66	-15	-100	20	-138	115	-55	84	-36	117	60	-27	114	-91	48	49	-72	59	7	-39	55	-11	29	-64	12	33	-33	2	32	34	71	-21
-23	79	53	-99	86	78	-47	-39	-94	-22	-29	-71	-1	-117	-78	56	60	68	34	1	81	52	-27	78	-56	-61	15	21	6	58	7	86	-59	4	10	-47	34	-48	0	-6	-39
-22	35	52	-85	-124	78	-36	-32	-79	0	-29	-74	17	45	-68	83	88	73	27	-29	57	50	-33	71	-35	-105	19	37	4	52	-44	119	-33	-2	4	-80	37	-51	3	19	-42
-25	63	-84	-103	56	-73	-20	7	-84	-19	-12	-111	28	-160	112	113	104	-50	82	-72	-13	125	-42	111	-117	-116	19	-72	-37	98	-62	20	-73	-36	54	-43	105	41	3	28	-61
-39	91	-84	-100	59	-86	-58	-56	-134	-52	-22	-112	34	-162	-49	94	75	-45	92	82	-41	90	-38	106	-118	-152	43	25	42	102	-39	25	-72	-31	65	-55	95	44	7	18	-73
-20	21	-110	-81	70	-97	-67	27	-115	-14	-22	-107	25	-140	83	91	97	-56	86	57	-21	70	-105	40	-67	-113	4	-32	-9	-3	-26	80	-36	4	-40	-31	68	34	42	-14	-23
-34	-19	-107	-30	-141	-82	-13	25	-96	-90	-2	-118	35	-196	-84	47	43	76	50	-66	102	61	-29	59	-83	-133	36	28	-3	49	2	65	-65	-35	12	-47	31	-52	8	9	-42
-30	23	-97	-79	84	-56	-45	-29	-107	-49	-13	-89	15	-120	106	-25	44	-42	83	-23	-21	47	-42	68	-56	-133	21	23	2	57	-30	76	-58	-34	6	-76	30	-51	9	14	-33
-21	17	-98	-81	78	-56	-39	-26	-112	-44	-14	-96	14	-128	99	-24	44	-44	86	-26	-21	58	-32	64	-63	-134	19	19	1	67	-37	86	-74	-35	14	-85	24	-59	19	13	-33
-43	9	82	-105	94	-52	-14	7	-77	-35	-17	-72	-88	-109	-57	39	26	-39	9	-11	66	53	-49	51	-57	-102	-5	-41	11	53	-14	62	-46	-2	47	-74	64	-47	1	10	-57
-29	18	-87	-9	62	-66	-13	21	-92	-30	-19	-110	-105	-167	-104	129	96	103	74	-63	-37	138	-38	99	-102	-127	14	-57	-28	88	-66	33	-76	-33	45	-31	105	38	-3	28	-67
-94	10	-77	4	-151	-71	-15	59	-105	-62	-12	-106	-117	37	-67	88	82	97	90	-83	-26	36	-90	81	-133	-148	30	-67	-33	88	-38	24	-49	-9	-55	-77	114	66	7	33	-77
-99	35	56	-91	-120	68	-34	-29	-84	-3	-27	-82	20	41	-70	80	86	79	49	-36	70	56	-39	63	-40	-106	20	35	8	45	-43	108	-33	-14	11	-87	40	-58	3	19	-35
