-209	-87	16	30	37	-24	11	-8	20	52	-29	13	10	-13	-53	-9	19	-48	-122	164	86	81	-223	356	240	139	228	617	-246	458	116	124	-192	-1644	149	-683	1876	-41	-12	-205	-24
-142	-103	4	65	-1	30	27	-71	18	29	-10	-23	-28	-31	-110	-32	-19	-36	-114	241	177	84	-197	358	217	141	221	641	-228	429	121	94	-171	-1517	75	-771	1925	-34	20	-123	55
-160	-57	5	52	25	-1	7	-15	30	33	-32	-24	21	-12	-47	-65	13	-29	-9	166	110	66	-207	374	259	184	188	662	-279	436	110	77	-163	-1513	81	-697	1773	-26	5	-116	-6
-94	-68	40	22	-23	-4	4	-33	12	35	-32	-27	27	0	-59	-39	-5	-37	-18	122	26	62	-215	335	258	172	234	639	-238	430	84	81	-144	-1462	53	-688	1834	-41	-31	-187	-43
-148	-21	-27	50	4	65	34	-21	60	56	-31	5	-45	1	-123	-64	51	-31	-206	312	109	69	-228	335	267	175	229	652	-262	427	103	101	-150	-1504	102	-673	1841	-26	-33	-201	-46
-180	-92	58	-22	86	70	56	-33	-18	74	-99	-46	-49	-106	10	-32	-43	-123	-248	390	342	69	-217	412	235	176	185	617	-240	447	125	81	-184	-1532	121	-689	2016	-44	-17	-211	-23
-178	-99	65	-31	92	59	52	-28	-6	54	-94	-52	-56	-105	-211	-36	-40	-127	-254	393	149	77	-211	326	237	164	194	636	-236	449	127	83	-177	-1530	122	-682	2019	-36	-14	-199	-7
-154	5	3	48	-6	-36	-15	9	4	27	-26	1	-11	-24	-81	-33	-16	-67	-47	148	100	61	-235	361	251	190	299	631	-277	449	143	107	-139	-1553	71	-724	1814	-38	0	-198	29
-168	-9	-13	-24	-11	24	-64	-60	6	-21	-49	-19	-21	-13	9	-5	-27	-48	-73	211	138	92	-246	386	200	151	254	624	-215	455	134	84	-154	-1404	80	-749	1817	-40	20	-118	-8
-185	-94	53	-31	83	61	48	-28	-11	60	-103	-51	-52	-107	9	-31	-35	-124	-252	393	337	64	-208	416	234	166	194	610	-235	451	122	85	-175	-1529	115	-686	2014	-38	-8	-205	-11
